gene,p_value (FoxOTriple),LogFC (FoxOtriple)
Trps1 ,0.25572487,0.21306
Trpv3 ,0.23395723,0.2129875
Olfr378 ,0.23573708,0.2129675
Tsnax ,0.13060699,0.2129192
Chst11 ,0.15821049,0.2127725
Nol5a ,0.28133157,0.21276
Mrps5 ,0.23372352,0.2127075
Xrn2 ,0.15617561,0.2126783
6330407J23Rik ,0.21048562,0.2126592
Aco1 ,0.11823169,0.2125667
Npc1 ,0.41043643,0.2125667
Ribc1 ,0.16899825,0.2124825
Lsr ,0.23896289,0.2124483
Rraga ,0.15312612,0.2124242
Csnk1e ,0.24030872,0.2123525
AI467606 ,0.24437248,0.2122808
G430022H21Rik ,0.07879255,0.2121533
Arl4c ,0.14506012,0.212115
1600021P15Rik ,0.11391797,0.2120892
Stard10 ,0.22065421,0.2120667
Prelp ,0.18207791,0.2119667
9330132A10Rik ,0.29988456,0.2119533
Pi4k2b ,0.08935949,0.211945
Cybrd1 ,0.23757036,0.2119317
Fam110c ,0.15129306,0.2118608
Olfr1394 ,0.17764364,0.211825
Slc25a14 ,0.13075754,0.2116467
Ctss ,0.30087238,0.21154
2900060N12Rik ,0.25253122,0.2115025
Ttc4 ,0.10089926,0.21149
Smc3 ,0.25170425,0.2113192
Smarca5 ,0.20086767,0.2112125
Anapc13 ,0.1078894,0.2111417
Sep.04,0.15959276,0.2111358
Zfp324 ,0.1459428,0.21109
AA415398 ,0.36834376,0.2110558
Ppp1r13b ,0.18131913,0.2109642
Pih1d1 ,0.07269037,0.2108592
Mllt11 ,0.1435563,0.210725
1600029D21Rik ,0.59652407,0.2107192
Sord ,0.0593866,0.2105017
BC022687 ,0.1718837,0.2104808
2410016O06Rik ,0.4429617,0.2103775
Olfr554 ,0.29798762,0.2103417
Btn1a1 ,0.17658062,0.2102767
Sry ,0.24478456,0.2102533
Trim24 ,0.32101874,0.2102367
Csnk2a2 ,0.41189039,0.210205
Scp2 ,0.11615643,0.210045
Cyp4f13 ,0.08583587,0.209995
Tdgf1 ,0.43972866,0.2098508
Pafah1b1 ,0.10184567,0.2098458
Fam160a1 ,0.29938436,0.2097533
Fam20b ,0.19407522,0.2096
Tcl1b2 ,0.35834215,0.2095992
Chchd7 ,0.1933238,0.2095083
Xk ,0.32678974,0.2094208
Mcts1 ,0.15848702,0.2093467
Olfr672 ,0.11781452,0.2092967
Pcyox1l ,0.16236937,0.2092475
Xrn1 ,0.10678283,0.2092458
Id3 ,0.14782651,0.2092433
Magi3 ,0.14464925,0.2091308
Vps18 ,0.19444085,0.2091308
Adfp ,0.05435852,0.20912
Aldh18a1 ,0.29287532,0.20896
Klhl25 ,0.12984193,0.2088867
1700019D03Rik ,0.26243096,0.2088858
Tmem219 ,0.13743597,0.2088767
Enho ,0.20159699,0.2088642
Cox15 ,0.18677551,0.2087075
Gipc1 ,0.17554732,0.208585
Olfr875 ,0.39212757,0.2085692
Ap1g1 ,0.17755449,0.2085583
Defb2 ,0.27407909,0.2085225
Hnf1a ,0.34819483,0.2085217
Gab2 ,0.44205595,0.2084175
Cox4i2 ,0.27499656,0.2082458
Gpr173 ,0.32776015,0.2082367
84362,0.13609162,0.20819
Rbbp4 ,0.12255871,0.208125
1110017I16Rik ,0.18792846,0.2080842
Prkar1a ,0.13837899,0.208025
Tmem25 ,0.1074987,0.2079758
Pitx1 ,0.36968947,0.2079108
Slc35e4 ,0.19549913,0.2077075
Lpcat4 ,0.15496433,0.2076758
Sp7 ,0.24180506,0.2076575
5730559C18Rik ,0.35725732,0.207645
Josd2 ,0.19323592,0.2075683
Ccdc46 ,0.1026655,0.2074125
Iyd ,0.09972675,0.2073858
Rpl14 ,0.44373497,0.2072675
Gpm6b ,0.07596119,0.2071942
Olfr19 ,0.17792308,0.2071492
Phox2b ,0.15928632,0.2070342
Cyp21a1 ,0.26800852,0.20699
Gss ,0.07825764,0.2069892
Gtf2b ,0.32525322,0.2067917
Tex15 ,0.2729478,0.2067917
Zfr ,0.11732187,0.206725
Zfp672 ,0.3016027,0.2067217
RP23-12I24.6 ,0.09004832,0.2067083
C1qtnf4 ,0.32446612,0.2065983
4930556L07Rik ,0.17151922,0.206565
Wbscr27 ,0.2478356,0.2063575
Zfyve21 ,0.2247225,0.2063125
Olfr474 ,0.06728853,0.2062142
Hyls1 ,0.09949211,0.2061592
Olfr714 ,0.48877568,0.206095
Klf13 ,0.17651785,0.2060925
Ostf1 ,0.11584137,0.2060617
Fh1 ,0.21841479,0.2060417
Tmem39b ,0.34570315,0.2060375
Jtv1 ,0.12912114,0.2060308
D3Bwg0562e ,0.26076489,0.2060175
D430028G21Rik ,0.2549735,0.2059958
Ednra ,0.14011847,0.2059892
2410004B18Rik ,0.1043427,0.2059492
5830433M19Rik ,0.22324771,0.20593
Pex14 ,0.12197198,0.205925
Wnt10a ,0.31469982,0.2059217
Ccdc124 ,0.14546537,0.2058125
Cnot1 ,0.15649356,0.2057583
Prss35 ,0.21103895,0.2057575
Mctp1 ,0.2372198,0.2057075
Vmn2r1 ,0.30671883,0.2056433
4833442J19Rik ,0.35474517,0.2056308
E2f1 ,0.1618725,0.2056225
Sftpc ,0.27455107,0.2056008
Cdh7 ,0.25392593,0.2055008
Sephs2 ,0.17610966,0.20549
Snap47 ,0.26626772,0.2054367
Fdft1 ,0.38346151,0.2052417
Grpr ,0.15162887,0.2051967
Cep97 ,0.12561193,0.2051925
Psmb1 ,0.22016037,0.2051333
Gfra1 ,0.12511839,0.2051167
Serpine1 ,0.6135402,0.2050683
6030419C18Rik ,0.20141495,0.2050292
4732415M23Rik ,0.14152122,0.2050217
Nhlrc3 ,0.18770097,0.2049992
Stx18 ,0.25083916,0.2049617
Rbp3 ,0.21609212,0.2048217
Dlx1 ,0.41884712,0.2047808
Olfr1079 ,0.07429107,0.2047458
AI314180 ,0.1512911,0.2047267
Herpud2 ,0.23250629,0.2047192
Bex1 ,0.41874334,0.2047
Ssr1 ,0.34720831,0.2046667
Gltpd2 ,0.1906631,0.2046083
Phkg2 ,0.05189582,0.204585
A130042E20Rik ,0.26502966,0.204535
Olfr424 ,0.35927288,0.2044017
Cxcl16 ,0.35965563,0.2042758
Amdhd2 ,0.10215527,0.2041958
Traf5 ,0.24412002,0.204035
C030048B08Rik ,0.14354499,0.2039233
Bcl7b ,0.24503567,0.2038725
Ecsit ,0.0931059,0.2035167
Uso1 ,0.18880875,0.2034
Mdh1b ,0.08444912,0.2031683
Mfap3 ,0.13088083,0.2030967
Fbxo28 ,0.32147547,0.2030792
1810024B03Rik ,0.15712078,0.202995
Hfe ,0.23046321,0.2029517
Cyb5rl ,0.13576546,0.2029483
Eif4g2 ,0.1946663,0.2029417
Ddx56 ,0.12265363,0.2029375
Mrm1 ,0.19468244,0.2028525
Elf2 ,0.0982813,0.2027392
Cdc23 ,0.10104011,0.2026158
Plekho1 ,0.19203444,0.2024967
Bche ,0.09597906,0.2024783
Rac3 ,0.1486575,0.2024675
Wdr77 ,0.31955081,0.2024167
Mrpl38 ,0.23034915,0.2024083
Epm2aip1 ,0.1515139,0.2023983
Rgs13 ,0.55011929,0.2022158
Zfp775 ,0.11376916,0.2021983
Slc35c2 ,0.15901323,0.2021258
Rbp4 ,0.39256311,0.2020667
Adsl ,0.12998739,0.2020083
Pla2g16 ,0.13941,0.2019842
H3f3b ,0.30366357,0.2019667
Nfe2l2 ,0.3071318,0.2019617
Mboat2 ,0.32608203,0.20189
Tmem195 ,0.13029261,0.2018592
Zkscan5 ,0.17491778,0.2016883
Olfr1497 ,0.13293115,0.2016283
Cldn18 ,0.26879716,0.2016058
Pus7l ,0.07484712,0.2015867
Pgam5 ,0.09356703,0.2015658
B3gnt4 ,0.34510507,0.2015383
Ctrl ,0.68228973,0.20142
Gprc5a ,0.46092737,0.2014183
Cndp2 ,0.1648402,0.2013133
Ppp2r5d ,0.21268574,0.201255
Selenbp1 ,0.12520361,0.20122
AY036118 ,0.37182493,0.2011492
Gpr65 ,0.21437274,0.2011433
D730001G18Rik ,0.10004844,0.2011208
Fthl17 ,0.13711501,0.2011042
Olfr828 ,0.4589997,0.2011042
Dmrt1 ,0.12540868,0.20106
Ucp2 ,0.39411283,0.2008833
Gnptg ,0.13188592,0.200825
Enoph1 ,0.14363227,0.2008175
Defb13 ,0.08916233,0.20075
Ppp2r2d ,0.33169489,0.2006517
Nkx2-1 ,0.17763763,0.2006125
Rab32 ,0.27668857,0.2006008
Slc22a2 ,0.1547182,0.2004892
Sox18 ,0.17286531,0.2004708
Mipep ,0.22582952,0.2003633
Spsb1 ,0.39358481,0.2002758
65707,0.25339683,0.2002625
Khk ,0.13301813,0.2001633
Rnf26 ,0.30944799,0.2001183
Tceal5 ,0.11262601,0.2000708
Rabggtb ,0.15605269,0.1999933
Pou2f3 ,0.14541419,0.1999417
Thap11 ,0.15288526,0.1998792
H2-Oa ,0.28579903,0.1997917
Lyrm1 ,0.20406538,0.1997908
Galnt13 ,0.33003712,0.1997725
Olfr374 ,0.46705279,0.1997567
Sspn ,0.35593028,0.1997233
Rabgap1 ,0.16329049,0.1996458
Cetn1 ,0.28862167,0.1996425
94950,0.12537273,0.1996342
Yipf3 ,0.35333078,0.1996167
A930018P22Rik ,0.16483375,0.1995717
Olfr393 ,0.08494605,0.1995425
Srp19 ,0.14410447,0.199445
Far2 ,0.12302135,0.199435
Znhit2 ,0.139994,0.1993742
1110067D22Rik ,0.18548126,0.19935
Ifitm1 ,0.35572517,0.1993283
Alg13 ,0.09378287,0.1992308
Nosip ,0.15669457,0.199185
Sucnr1 ,0.25092335,0.1991592
Chrne ,0.12890579,0.1991417
Cxcr7 ,0.41979303,0.1991333
Tmie ,0.28884989,0.1990933
Sra1 ,0.1621368,0.1990025
1700067K01Rik ,0.24872981,0.1989583
Nbl1 ,0.08869003,0.1989525
Hps6 ,0.2975947,0.1989333
V1re1 ,0.30589918,0.1989117
Spon1 ,0.26142993,0.1988417
Gab3 ,0.22839223,0.1987808
Lyrm7 ,0.1389823,0.1986967
Fut1 ,0.56309197,0.1986867
Ulk2 ,0.19321632,0.198675
Rxrg ,0.17979174,0.198565
Dpyd ,0.15085028,0.1984258
4921524J17Rik ,0.18328066,0.1984125
Aldh5a1 ,0.24533466,0.1983958
Otop1 ,0.10869393,0.1983775
Fkbp7 ,0.22477243,0.1983408
Rnf113a2 ,0.21909245,0.1982842
Rad21 ,0.15702825,0.198275
Cyb561 ,0.22001062,0.1982733
Asb8 ,0.28937972,0.19824
Lgals7 ,0.26334516,0.198045
Bnip2 ,0.32229911,0.1979442
Slc30a9 ,0.22023355,0.1978517
Nags ,0.14438226,0.1977742
Kctd1 ,0.08172089,0.1974658
Prkacb ,0.27019614,0.1974083
Mypn ,0.07469967,0.1974008
Ticam1 ,0.3635347,0.1973475
Ppap2a ,0.32744857,0.1972758
Dmp1 ,0.49890987,0.19715
Cbx1 ,0.12048724,0.1971283
Rspry1 ,0.20240302,0.19689
Opa1 ,0.27898103,0.196875
Eed ,0.12512544,0.1968333
C2 ,0.10837675,0.1967767
Slc5a7 ,0.19635465,0.196775
Xpo7 ,0.16280815,0.1967383
Clec2e ,0.07469608,0.19673
Sh3bp4 ,0.31890334,0.1966967
Col10a1 ,0.42838409,0.1965525
Icmt ,0.15213863,0.1964292
Pim2 ,0.33157625,0.1964025
Sc4mol ,0.20313113,0.1963583
Gfra3 ,0.332512,0.1962392
Cd8b1 ,0.20078125,0.1962075
Sirt2 ,0.1832539,0.1961983
Mxra7 ,0.10152757,0.196025
Hipk3 ,0.3485553,0.19585
Nostrin ,0.3911771,0.1957692
Psmd13 ,0.131023,0.1957692
A430033K04Rik ,0.11120731,0.1957683
Trpc1 ,0.22689609,0.1957008
Zfyve16 ,0.14074048,0.1956992
Hck ,0.33837844,0.195555
Dak ,0.16526398,0.1955533
Grhl1 ,0.48685677,0.1955483
Snupn ,0.26398785,0.1954892
Lars ,0.34223969,0.1953583
Arpc4 ,0.06217851,0.1952633
Slc25a10 ,0.09583498,0.19526
Ap4b1 ,0.12417621,0.1952117
Irf2 ,0.30725973,0.1950333
Ifrd1 ,0.13713743,0.1950167
9130401M01Rik ,0.20024263,0.1949633
Hmgb3 ,0.33999578,0.1948717
BC030336 ,0.2422425,0.1947267
RP23-336F11.32 ,0.21372212,0.1947025
Fzd7 ,0.23598602,0.1946525
Olfr1219 ,0.29399844,0.1946433
Pf4 ,0.19499868,0.19459
Lrrc58 ,0.35643267,0.1945475
Zfp146 ,0.24298743,0.1944275
Ghrl ,0.3745924,0.194375
E330009J07Rik ,0.29983813,0.1941975
Freq ,0.2687122,0.194165
Purb ,0.26510658,0.1940083
Krt1 ,0.1091399,0.1939967
Ahr ,0.2265602,0.1939367
1110007C09Rik ,0.29152301,0.1938708
Serpina3c ,0.08927024,0.1937525
Vasn ,0.29822119,0.1937042
Ghsr ,0.28298495,0.1936683
Arfip2 ,0.07986836,0.1935833
Ssx9 ,0.22704487,0.1935508
Tmem135 ,0.2056272,0.193385
Tmem39a ,0.23717502,0.1932417
Bola2 ,0.10251832,0.19316
Slc6a8 ,0.24877172,0.1931583
Rgs7bp ,0.2800949,0.1930658
Smc2 ,0.34024702,0.1930267
Gnb5 ,0.07391428,0.1930142
Hdac11 ,0.07169948,0.1929942
Strm ,0.2185983,0.1929808
Fam84a ,0.47927271,0.192965
Nudt22 ,0.10069174,0.1928567
Nasp ,0.30287877,0.1927392
Olfr1454 ,0.10188542,0.1927183
Olfr730 ,0.127213,0.1927133
Eya1 ,0.18273357,0.1926133
Dusp6 ,0.35875632,0.19256
Ppp2r2a ,0.24367156,0.192525
Sox15 ,0.29596388,0.1925192
Ctsa ,0.20372945,0.1925083
4933431E20Rik ,0.18870984,0.1924692
Phox2a ,0.34697257,0.1924583
Trp53rk ,0.46524673,0.1924317
Wdr16 ,0.30496862,0.1924292
Rassf7 ,0.17741009,0.1924058
C3 ,0.47910746,0.1923492
Tymp ,0.13536754,0.1923092
Rapgef6 ,0.15679816,0.1922742
Sfxn3 ,0.14081403,0.1922717
Sgol1 ,0.12323407,0.1921817
Sestd1 ,0.3135342,0.1920117
Gdf6 ,0.13503508,0.1919992
Art4 ,0.17638224,0.1919967
Bmp3 ,0.14557084,0.1919442
Mapk6 ,0.39403111,0.1919167
Ctsb ,0.31129765,0.19185
53635,0.17718372,0.1917042
D630039A03Rik ,0.18894704,0.1916933
Scg2 ,0.08025935,0.1916833
Prpf18 ,0.18729914,0.19168
Car4 ,0.41658462,0.1915375
Supv3l1 ,0.25097972,0.1915075
Cnpy4 ,0.18071267,0.1914817
BC027231 ,0.18820847,0.191455
Ripk1 ,0.24706656,0.1912283
Mep1a ,0.24344567,0.1912217
Nek1 ,0.25942302,0.1912092
Daglb ,0.17644667,0.1911558
2310051M13Rik ,0.30490654,0.1911233
5133400G04Rik ,0.16057624,0.1911225
Gstp2 ,0.28026385,0.1909417
5730508B09Rik ,0.18801799,0.1909333
2210012G02Rik ,0.13869323,0.1908958
Usp8 ,0.19959649,0.1908733
Gja1 ,0.34801064,0.1906892
Otos ,0.22659995,0.1905875
Eaf1 ,0.39679959,0.1905317
Pnma3 ,0.1887955,0.1904867
Obfc1 ,0.19608933,0.19048
Cenpv ,0.22268925,0.1904592
Olfr697 ,0.12986006,0.1904183
Fgd2 ,0.13005889,0.1903958
Zdhhc5 ,0.34410002,0.190375
Zdhhc3 ,0.1899495,0.1903742
Stip1 ,0.12409613,0.1903583
Fastk ,0.22000608,0.1903125
Sash3 ,0.29168183,0.19031
Ankrd46 ,0.35734875,0.1902992
E130309D02Rik ,0.30206838,0.1901967
1110006O24Rik ,0.20437661,0.1901167
Ctbp2 ,0.48392799,0.1900417
Fkbp2 ,0.20965929,0.190025
Sh3bgrl2 ,0.32097949,0.1900183
Tmem180 ,0.38791884,0.1899692
Ranbp9 ,0.27240638,0.1899667
Cep78 ,0.18264885,0.1899417
Fam162a ,0.12581936,0.189935
Hs3st3a1 ,0.12785834,0.189865
Amac1 ,0.18404486,0.1898317
Il23a ,0.13935217,0.1898242
Casp12 ,0.11087189,0.18982
2410022L05Rik ,0.09346718,0.1897417
Tada1l ,0.25308686,0.1896408
Ino80b ,0.15410811,0.18964
4933434I06Rik ,0.51987522,0.1895908
Larp5 ,0.3628772,0.1895833
Agtrap ,0.2460098,0.1895825
Psip1 ,0.10197503,0.1895433
Rap1b ,0.19098969,0.1894167
Antxr1 ,0.14829757,0.1894058
1700055M20Rik ,0.21491896,0.1893983
Olfr122 ,0.07675713,0.1893383
2810405K02Rik ,0.19608101,0.1893067
Tessp2 ,0.21620396,0.189215
Hsd17b13 ,0.14720097,0.1891525
Tbl1xr1 ,0.19346725,0.1891417
1700013N18Rik ,0.59017703,0.1890692
Olfr144 ,0.25505361,0.1890667
Zbtb24 ,0.24197509,0.1889575
Mar.08,0.32604983,0.1889375
Smox ,0.22225375,0.1889317
Cdx2 ,0.39507653,0.1888958
Rab11fip4 ,0.18237679,0.1888933
Hoxa1 ,0.19114523,0.1888258
Gykl1 ,0.21272549,0.1888233
Fmr1 ,0.22060155,0.1888083
Lsm14a ,0.1987416,0.18877
Rock1 ,0.19297754,0.188705
Zic5 ,0.27343966,0.1886483
1700001C02Rik ,0.19692121,0.1885975
Gna14 ,0.27806067,0.1885608
Svs4 ,0.33827533,0.18856
Jarid1d ,0.1387529,0.1884125
Ccr5 ,0.14771025,0.1882975
Olfr812 ,0.52154671,0.1882425
Hdc ,0.1116172,0.1882142
Dhx32 ,0.36320747,0.1882083
4933434E20Rik ,0.31597308,0.1882058
Krtap16-7 ,0.19086404,0.1881725
2310003L22Rik ,0.21385374,0.18806
Chrna7 ,0.19601795,0.1880375
Sfxn4 ,0.30680092,0.1879958
Ifna2 ,0.6976733,0.18799
Nrcam ,0.33298745,0.18795
Ubap1 ,0.17780654,0.1879042
Pyy ,0.39016997,0.1879
Suclg1 ,0.13054796,0.1878908
Prr13 ,0.17500683,0.1878742
Olfr952 ,0.13102122,0.18782
Gcnt3 ,0.0749184,0.1877458
Ppara ,0.16454292,0.1877133
Mmp1b ,0.11485595,0.1877
Zfp148 ,0.12402133,0.187625
Aqr ,0.20643128,0.1876117
Sorcs1 ,0.13229336,0.1875992
Vangl1 ,0.18156108,0.1873792
C1rl ,0.2743837,0.1873475
Ntf3 ,0.40413943,0.1873175
Dhdds ,0.22372445,0.1872833
Tm9sf1 ,0.27577593,0.1872792
Chst12 ,0.45295168,0.1872292
Zfp108 ,0.26657783,0.1871425
8430406I07Rik ,0.15910817,0.1870108
66875,0.26880899,0.1869642
Phospho1 ,0.14970643,0.186925
Gstt3 ,0.23824401,0.1868967
Olfr619 ,0.32522385,0.1868925
Trim37 ,0.14051035,0.186855
2610036D13Rik ,0.24332896,0.1868492
Dhodh ,0.13941595,0.1868392
Wdr1 ,0.24451759,0.1867917
Ifi30 ,0.39246651,0.1867383
Fam18a ,0.36950995,0.1866942
Larp7 ,0.40247038,0.1866217
Aqp2 ,0.12748807,0.1865992
Luzp1 ,0.20683925,0.1865558
Syt17 ,0.29760446,0.1864958
Pde3a ,0.14266986,0.1864317
Tmem220 ,0.23082674,0.1862142
Med30 ,0.32984699,0.1861658
Scnn1g ,0.37653766,0.186125
Agpat9 ,0.2151443,0.1861233
Arl8a ,0.29566092,0.1861167
Copa ,0.21555817,0.1861083
Rps3 ,0.33710009,0.18605
Cnn1 ,0.16500219,0.1860033
Pcdhb20 ,0.23124205,0.1859808
D2Ertd391e ,0.23048503,0.185975
Clec7a ,0.10583133,0.1859392
Olfr1273 ,0.39326567,0.1859333
Mybl1 ,0.39559223,0.1858675
Ehd1 ,0.38682551,0.185855
Hey1 ,0.15689881,0.1857725
Acaa1b ,0.42796741,0.185635
Letm2 ,0.1244322,0.1855017
Tpp1 ,0.1911774,0.1854492
Nars ,0.34154208,0.1853917
Fkbp4 ,0.16409797,0.18517
Asrgl1 ,0.13072609,0.1851158
1110007A13Rik ,0.32556972,0.1851
Olfr1120 ,0.14870198,0.18508
Rab21 ,0.24233018,0.18505
Tusc3 ,0.20684912,0.1849458
Comp ,0.22582093,0.1848508
Mrpl24 ,0.31325649,0.1848358
Bcor ,0.41315462,0.1847692
Acsl5 ,0.39826676,0.1847525
Tollip ,0.39920381,0.184725
Setx ,0.18685263,0.1846125
Nploc4 ,0.32170128,0.184575
Pak7 ,0.1658721,0.1845733
Apln ,0.52694762,0.1845675
Psen1 ,0.22076767,0.1845667
Wdr23 ,0.11121409,0.1845625
Plcxd3 ,0.22256794,0.1845142
Rpp21 ,0.17432667,0.1844867
Snai1 ,0.24736096,0.1844158
Ubac1 ,0.11294073,0.1843192
Pknox2 ,0.09248476,0.1841317
Trim30 ,0.66122471,0.1841183
Slc29a1 ,0.13729772,0.1840758
Ccdc125 ,0.10859607,0.184045
Myef2 ,0.17994793,0.1839833
Alox5ap ,0.1118135,0.1839275
Ndufa8 ,0.11611771,0.1839017
Lmbrd1 ,0.4841136,0.1838833
Evl ,0.15288432,0.1838525
Pla2g12a ,0.21464488,0.1837875
Pcdhb8 ,0.62945658,0.1837158
Fam152b ,0.25619251,0.1835833
Tnks ,0.33362214,0.1834917
Exdl2 ,0.17385345,0.1834817
Rusc1 ,0.09056473,0.1834117
0610038F07Rik ,0.25269733,0.1833808
Brunol4 ,0.21489236,0.183325
Katnal1 ,0.2292332,0.1832817
B230399E16Rik ,0.17593178,0.1832767
Gna12 ,0.285458,0.1832542
Commd7 ,0.3524354,0.1832383
Rpl8 ,0.22337628,0.1832333
Slc16a12 ,0.25721354,0.1831917
Rev3l ,0.31080039,0.1831367
Pabpc2 ,0.38305153,0.1831325
Orai1 ,0.15876862,0.183125
Polr1b ,0.13724567,0.183075
Ngfrap1 ,0.15210945,0.1830167
Ran ,0.19413968,0.1830042
Mif4gd ,0.12985843,0.1829617
Ccdc67 ,0.08745208,0.1828733
Egf ,0.28490366,0.1828642
Olfr539 ,0.37220044,0.1827642
E430018J23Rik ,0.15298982,0.18273
Thrsp ,0.31759548,0.1826908
Ube2j2 ,0.15660027,0.1826767
Rab15 ,0.08725605,0.18259
EG328231 ,0.18250431,0.1825192
Acox3 ,0.09712807,0.182505
Nol6 ,0.30367417,0.1824758
Acad8 ,0.19976435,0.1823092
Tinagl1 ,0.49866247,0.1822817
Kazald1 ,0.22962242,0.1820792
Lpcat1 ,0.21536909,0.1819875
Ogg1 ,0.12184686,0.1819725
Ppil2 ,0.15822554,0.1819242
Dclk1 ,0.52834065,0.1816692
Plekhf2 ,0.12899509,0.1816608
Taf5l ,0.26674312,0.1816608
4930572J05Rik ,0.29626039,0.1816533
Ccdc137 ,0.21967395,0.1816392
Snrpa ,0.26301728,0.1815767
Calm1 ,0.23797653,0.1815
Bex2 ,0.20695977,0.1814892
Onecut2 ,0.31347268,0.1814208
Slc20a2 ,0.22513964,0.1812575
Atl1 ,0.23320705,0.18124
Paqr7 ,0.45603732,0.1812275
Gfra4 ,0.15408288,0.1811933
Krtap15 ,0.15158274,0.1811667
Snx5 ,0.18212624,0.1811333
Pdlim2 ,0.10584713,0.1811225
BC006965 ,0.18754684,0.1810808
Trpm5 ,0.26904799,0.18105
ORF63 ,0.31650138,0.1809967
Ccdc5 ,0.166602,0.1808183
Tspan13 ,0.24760224,0.1808083
Polr3b ,0.15764605,0.1807967
Olfr214 ,0.6472659,0.1807708
Nhp2 ,0.30901031,0.180715
Klhl31 ,0.22091835,0.1807042
Zzz3 ,0.17991078,0.1806417
Naip1 ,0.14449726,0.1806125
Fstl3 ,0.34459949,0.1805333
Cpne8 ,0.60506311,0.1805217
Eif2s3y ,0.18682295,0.180435
Dgat2l4 ,0.37108844,0.1804092
Lzts1 ,0.30214461,0.1803433
Lrrc59 ,0.48168602,0.1803
Cdc73 ,0.18106707,0.1801667
E130012A19Rik ,0.31558745,0.180155
Psmg1 ,0.18675778,0.1801383
Cyp2j5 ,0.09550334,0.1800058
Sost ,0.38714854,0.1799817
Col4a3bp ,0.15423382,0.1798108
Spaca3 ,0.13133538,0.1797683
Mylip ,0.27300765,0.1796758
Dusp15 ,0.10027432,0.179645
Galnt2 ,0.21811916,0.17949
Pdcd2 ,0.18725713,0.1794208
Ttc39c ,0.40660805,0.17941
2310079N02Rik ,0.19430043,0.1793383
Chrnb4 ,0.363268,0.179195
A130004G07Rik ,0.34768002,0.1791842
Lim2 ,0.39441621,0.1791842
Angptl2 ,0.29723257,0.1791792
A130014H13Rik ,0.33870504,0.1791625
Nup160 ,0.23915473,0.1791375
Lhx4 ,0.14367369,0.1790417
Arl13b ,0.35497219,0.1789475
Asph ,0.19074488,0.1789175
Synm ,0.23613672,0.1788967
Rdx ,0.22373227,0.1788617
Atad2 ,0.20142916,0.1788408
Dll3 ,0.22232579,0.1788308
Klhl25 ,0.19896333,0.17881
Nrg1 ,0.27251222,0.1788025
Gabrb2 ,0.31829034,0.1787975
Dydc1 ,0.11088734,0.1787783
Kctd7 ,0.1224961,0.1787183
Ptpdc1 ,0.27523873,0.1786292
Aen ,0.25927199,0.1786067
D17H6S53E ,0.12615934,0.1785742
Cnn2 ,0.31699533,0.17848
3010026O09Rik ,0.27210807,0.1784675
Ogfr ,0.47307099,0.1784417
51744,0.13858082,0.1784225
Rnf130 ,0.28077364,0.1784
Rpgr ,0.18466097,0.1783683
3830417A13Rik ,0.1930616,0.1783633
Six2 ,0.36015318,0.178335
Olfr1507 ,0.19529992,0.1782808
Plscr4 ,0.29020782,0.17826
Actn4 ,0.43763136,0.1782083
Cdkn3 ,0.49658281,0.1782058
Msrb2 ,0.20271738,0.1781825
Hrasls5 ,0.17637493,0.1781258
A430057O09 ,0.21033836,0.1780633
Ywhaz ,0.19615526,0.1780417
Nsf ,0.31663128,0.1780133
9530009G21Rik ,0.65194771,0.1780083
4932438A13Rik ,0.27161998,0.1779625
Calml4 ,0.16359534,0.177945
Lmo4 ,0.12665752,0.1779008
V1rg12 ,0.72161452,0.177815
Myf5 ,0.28704188,0.177795
Prmt3 ,0.18532759,0.1777383
Ndufa6 ,0.21913119,0.1777292
Gba ,0.24219318,0.1775817
Mtap7d3 ,0.12124849,0.1775742
Haghl ,0.14827375,0.1775467
Bag4 ,0.23688536,0.1775417
Ube2g2 ,0.16208786,0.177495
Sox9 ,0.39752834,0.1774225
Mafk ,0.4708547,0.17714
B4galt1 ,0.35022144,0.1771367
Neu1 ,0.26093987,0.1770917
Mdfi ,0.2068001,0.1770442
Olfr394 ,0.28072544,0.1770433
Cabyr ,0.1016496,0.1769217
Slc4a1ap ,0.30420687,0.1768967
Pnpla3 ,0.21436196,0.1768217
Pxmp2 ,0.17638213,0.1767825
Ier3ip1 ,0.33665534,0.1767683
Klhl10 ,0.28817637,0.1767208
Mrps10 ,0.32547119,0.1767033
Elavl3 ,0.25428357,0.1766817
Ddx46 ,0.16942334,0.1766675
Col5a2 ,0.24789274,0.1766117
BC031748 ,0.28335623,0.1765917
Krt13 ,0.15939966,0.1765667
Zfp790 ,0.12202556,0.176565
Sim2 ,0.24091918,0.176555
Olfr1389 ,0.37697333,0.1764933
Wscd1 ,0.08835392,0.1764358
Hist1h2ae ,0.16856616,0.1764125
Arpc5l ,0.28026703,0.17637
4930486G11Rik ,0.23466963,0.1763542
A930041I02Rik ,0.13493939,0.1763225
Ankra2 ,0.25022793,0.1762592
H2-Ke6 ,0.16834226,0.1762533
Ppp2r1b ,0.18883505,0.1762142
Rad52 ,0.27440139,0.1761425
Lancl1 ,0.29382506,0.175975
Phf14 ,0.12181166,0.17595
Sdccag1 ,0.27442244,0.1759267
Olfr174 ,0.17720216,0.1758525
Add3 ,0.36696842,0.1757725
Tk2 ,0.28273969,0.1757642
Sppl3 ,0.35955336,0.1757408
Cdc2a ,0.64972385,0.1756342
Lrrtm1 ,0.36918587,0.1755558
